"Ozone","Solar.R","Wind","Temp","Month","Day"
NA,139,8.6,82,7,11
71,291,13.8,90,6,9
NA,266,14.9,58,5,26
NA,31,14.9,77,6,29
115,223,5.7,79,5,30
28,NA,14.9,66,5,6
NA,98,11.5,80,6,28
NA,91,4.6,76,6,23
85,175,7.4,89,7,10
6,78,18.4,57,5,18
NA,194,8.6,69,5,10
NA,47,10.3,73,6,27
NA,66,16.6,57,5,25
40,314,10.9,83,7,6
NA,250,9.2,92,6,12
NA,138,8,83,6,30
NA,186,9.2,84,6,4
97,267,6.3,92,7,8
NA,220,8.6,85,6,5
NA,NA,14.3,56,5,5
14,334,11.5,64,5,16
10,264,14.3,73,7,12
27,175,14.9,81,7,13
16,256,9.7,69,5,12
14,274,10.9,68,5,14
11,290,9.2,66,5,13
34,307,12,66,5,17
NA,250,6.3,76,6,24
7,48,14.3,80,7,15
4,25,9.7,61,5,23
1,8,9.7,59,5,21
NA,259,10.9,93,6,11
49,248,9.2,85,7,2
12,149,12.6,74,5,3
18,313,11.5,62,5,4
NA,NA,8,57,5,27
37,279,7.4,76,5,31
18,65,13.2,58,5,15
NA,135,8,75,6,25
13,137,10.3,76,6,20
12,120,11.5,73,6,19
NA,59,1.7,76,6,22
NA,127,8,78,6,26
NA,101,10.9,84,7,4
7,NA,6.9,74,5,11
29,127,9.7,82,6,7
32,92,12,61,5,24
23,148,8,82,6,13
135,269,4.1,84,7,1
11,320,16.6,73,5,22
NA,287,9.7,74,6,2
39,323,11.5,87,6,10
21,191,14.9,77,6,16
NA,291,14.9,91,7,14
NA,242,16.1,67,6,3
NA,273,6.9,87,6,8
97,272,5.7,92,7,9
NA,322,11.5,79,6,15
41,190,7.4,67,5,1
77,276,5.1,88,7,7
23,13,12,67,5,28
NA,264,14.3,79,6,6
23,299,8.6,65,5,7
NA,332,13.8,80,6,14
NA,286,8.6,78,6,1
32,236,9.2,81,7,3
64,175,4.6,83,7,5
NA,150,6.3,77,6,21
11,44,9.7,62,5,20
37,284,20.7,72,6,17
36,118,8,72,5,2
19,99,13.8,59,5,8
20,37,9.2,65,6,18
8,19,20.1,61,5,9
30,322,11.5,68,5,19
45,252,14.9,81,5,29
